,place_id,interpolated_tract_miles_traveled
0,113085254,77636.03816462585
1,113087124,22324.45716434982
2,113089745,26813780.20435064
3,113091881,58277.79127961508
4,113095304,853572.8608208838
5,113098881,13110977.593383918
6,113099430,123279.62582841236
7,113100011,43463283.25912278
8,113118304,22761.88390145425
9,113127029,11671383.640170794
10,113150172,43653.04926158753
11,113154457,222419943.7093763
12,113162150,22343656.636264816
13,113173787,92251779.48256285
14,113210491,1504763.7619031048
15,113242442,550790.3119516922
16,113276199,6287105245.085546
17,113306721,847506.1228929055
18,113318944,38303498.857612714
19,113319173,575803172.1319441
20,113341949,7742584.3799483385
21,113345218,59973.64707715958
22,113346258,2890676.212544149
23,113371468,832612.7987890829
24,113406944,1154724.8074939807
25,113428900,10132469.455780467
26,113432166,211993.80394914182
27,113440836,24703.769363904506
28,113463000,1849225.0837181692
29,113488317,9157859.06002406
30,113513814,753419.8517600477
31,113514161,94000.58214071234
32,113522042,76030.64937338863
33,113529929,713966.5988997251
34,113539125,587415249.7381682
35,113557640,149699887.03581512
36,113560692,36276409.78923309
37,113573724,36515749.32084842
38,113578464,7617631.127481877
39,113590743,790135422.91606
40,113595780,49819810.28652546
41,113605005,1445954.1877513367
42,113605443,585179.7363658891
43,113613404,737769.2226022241
44,113613717,39728527.20401383
45,113617361,4445691.817755801
46,113620109,80129900.26437156
47,113626692,2076219.7900248293
48,113634440,90218.56836017681
49,113635816,1356135561.7514443
50,113647731,26834.106082690585
51,113648195,800505.8521089414
52,113653494,36063.21700782613
53,113657070,45186641.01898547
54,113662638,52924.82520573823
55,113665072,30325.732176817175
56,113665682,73183.50938438115
57,113685435,350622.43591455766
58,113702899,72056956.95567569
59,113703950,3995984.5199504085
60,113720039,21834.470650350744
61,113725402,544193193.4155738
62,113726355,124695.43638382971
63,113727387,3764977.981897225
64,113744212,37721.09541372633
65,113744788,1412848.8973752973
66,113750695,319312508.89847547
67,113762213,1084160145.3887722
68,113808129,282651564.1318534
69,113809115,11642.692832039775
70,113809187,80653.54507377441
71,113811434,1358656.6358181
72,113812209,248553.25558127763
73,113840762,75158.19844250614
74,113844587,5318.9388593397
75,113844744,492891.87784188543
76,113858313,48885202.7200858
77,113873870,151894728.57635027
78,113893479,26015.87164141217
79,113894971,55109.172842837106
80,113897080,26374.052013846693
81,113897822,175819.38233167265
82,113898314,3034035.3315420263
83,113900940,82757278.72688499
84,113901989,39015153.31997002
85,113907163,49545745.592951775
86,113907938,10005.903567190586
87,113916081,122925984.19959652
88,113916957,65023.242828486276
89,113920181,1660379.7361206552
90,113923631,21212.977092586596
91,113923968,121758.31675625239
92,113926434,73008.98381136225
93,113927115,102178.47986239597
94,113927168,594258.1968959143
95,113928514,70539.9914992862
96,113930945,166741452.68600935
97,113942162,21317880.3082618
98,113944404,22491.39269529594
99,113946195,372307.2595199877
100,113946537,269869726.44964725
101,113948642,558065.1626940175
102,113949938,690157074.7399169
103,113957037,522840.28413065703
104,113961234,11962785.73992201
105,113966691,3992635.98471268
106,113968941,241268.18085943864
107,113972787,2189129088.70774
108,113973293,32535053.818139356
109,113978687,315400.91873089655
110,113982451,435764219.30112803
111,114000709,690881952.8844326
112,114002070,13108650.87287512
113,114005237,1457594.1638466204
114,114005418,9870.644721593988
115,114014303,11536.632175378021
116,114016981,125867.94662778215
117,114024357,19528109.09740396
118,114025933,786920.8918241272
119,114034312,53149965.44508934
120,114044715,271148.8385189639
121,114045404,383535585.84532636
122,114051445,673751.681991839
123,114052422,247949.28051215966
124,114063827,60686311.966749825
125,114064196,10497048.333781973
126,114065167,505793500.7980267
127,114066249,70736.63223609906
128,114066585,201508.97004176982
129,114066631,21637.844210982163
130,114080741,80748.55818320719
131,114083628,95446077.93718274
132,114083840,53099183.30672358
133,114105006,592973.813829996
134,114105386,38706.69594859869
135,114107585,940316.6883861613
136,114110457,104616.01993936129
137,114115761,325606724.62231004
138,114118385,8031116.105061092
139,114129788,906359.7100717092
140,114140907,195958930.34831274
141,114142155,30628.28013975539
142,114149652,48508.412571678506
143,114149935,8462988.493842289
144,114152049,31889365.94716172
145,114154147,82440933.1969109
146,114159364,33021.7882911609
147,114160952,30200907.630762897
148,114166672,5908354.8713803
149,114172488,37374176.81801797
150,114176575,23650.36520654584
151,114181123,38021279.63130044
152,114184773,18695813.299392894
153,114187204,26769588.460472785
154,114187707,124985579.01997921
155,114190667,1921401.2873269178
156,114203716,213110696.42648244
157,114205334,582570.4269275798
158,114208582,240812.03866709775
159,114210031,103078.03654096393
160,114218562,2845602.346664233
161,114218782,258282889.78649068
162,114228276,69805033.64898278
163,114228555,237379.1697941934
164,114233844,6671925.189235841
165,114235429,523629.74740555976
166,114235771,7839.140395663213
167,114236625,38830.2940780306
168,114237364,16325.246729077366
169,114242620,1013409.4076371643
170,114242697,26702.828048936295
171,114247844,1177978583.924971
172,114248300,693483976.4842795
173,114250620,109973.26678779876
174,114251909,10522904.882366192
175,114253329,733338919.8705057
176,114266951,6658767.708552544
177,114272129,13941921.087236578
178,114272815,1985935.3548292161
179,114284382,2500798.4838819904
180,114287161,12599.808578115159
181,114292863,1238195672.5634725
182,114299912,125008647.77547126
183,114304273,247181.55830766947
184,114308077,13079423.437349947
185,114310047,873089.9029010505
186,114310169,2013806.0461138608
187,114310562,484555.1490620853
188,114310894,1514576.5723618327
189,114327616,346472.41929479624
190,114333870,287179001.09378284
191,114337451,128257.56211972935
192,114345268,298779.78583106026
193,114346678,8575361.916318255
194,114347826,4621603.4435531935
195,114349334,1821427658.991488
196,114349339,165067.37086553316
